Territorio,Año,Música clásica Conciertos de música,Música clásica Espectadores (miles de personas),Música clásica Recaudación (miles de euros),Música clásica Espectadores por representación,Música clásica Gasto medio por espectador (euros),Música popular Conciertos de música,Música popular Espectadores (miles de personas),Música popular Recaudación (miles de euros),Música popular Espectadores por representación,Música popular Gasto medio por espectador (euros)
Aragón,2020,313,40,359,129,8.9,1868,,,,
Aragón,2019,701,214,1384,305,6.5,6029,1102,8646,183,7.8
Aragón,2018,678,206,1312,304,6.4,5878,1096,8604,186,7.9
Aragón,2017,666,212,1331,319,6.3,5733,1092,8563,190,7.8
Aragón,2016,637,202,1221,317,6.1,5872,1082,8219,184,7.6
Aragón,2015,619,198,1222,319,6.2,6097,1067,6218,175,5.8
Aragón,2014,571,185,1127,324,6.1,6353,1112,6477,175,5.8
Aragón,2013,602,193,1150,320,6,6945,1203,6435,173,5.4
Aragón,2012,647,201,1102,311,5.5,7881,1376,7703,175,5.6
Aragón,2011,648,205,1112,317,5.4,8077,1411,8185,175,5.8
Aragón,2010,701,233,1463,332,6.3,8057,1621,9522,201,5.9
Aragón,2009,708,231,1535,326,6.6,8496,1672,9630,197,5.8
Aragón,2008,948,301,2473,318,8.2,8951,2390,10213,267,4.3
Aragón,2007,934,253,2248,271,8.9,5197,1362,8831,262,6.5
Aragón,2006,1023,262,1689,256,6.4,4342,1378,7027,317,5.1
Aragón,2005,851,227,1418,267,6.2,3707,1223,6957,330,5.7
Aragón,2004,665,167,847,251,5.1,3050,983,5923,322,6
Aragón,2003,755,177,755,234,4.3,2822,826,4187,293,5.1
España,2020,7472,1093,11997,146,11,45306,,,,
España,2019,16252,5291,45464,326,8.6,91106,21668,161353,238,7.4
España,2018,15776,5114,43946,324,8.6,89440,21296,158531,238,7.4
España,2017,15420,4972,42913,322,8.6,87924,20927,155787,238,7.4
España,2016,14972,4680,39604,313,8.5,88259,20127,149183,228,7.4
España,2015,14636,4532,38001,310,8.4,90212,19372,112982,215,5.8
España,2014,14400,4400,36028,306,8.2,94589,20362,118556,215,5.8
España,2013,14522,4538,37480,312,8.3,103208,21334,114778,207,5.4
España,2012,15017,4733,38305,315,8.1,116446,24382,135714,209,5.6
España,2011,15398,4843,39074,315,8.1,121722,25480,142383,209,5.6
España,2010,16222,5167,41413,319,8,126907,28821,153047,227,5.3
España,2009,17017,5529,44158,325,8,130346,30638,156782,235,5.1
España,2008,17859,5524,45289,309,8.2,138613,33424,150186,241,4.5
España,2007,18570,5584,45369,301,8.1,127129,29668,145073,233,4.9
España,2006,19399,5855,47840,302,8.2,130656,27771,137857,213,5
España,2005,17914,5462,44685,305,8.2,126778,23458,126659,185,5.4
España,2004,17465,5160,39295,295,7.6,114428,22268,120469,195,5.4
España,2003,16502,4901,36544,297,7.5,101323,22095,104522,218,4.7
